연번 ,구분 ,관리기관명,운영노선명 ,역명
1,공중화장실,서울교통공사,1호선,서울
2,공중화장실,서울교통공사,1호선,시청
3,공중화장실,서울교통공사,1호선,종각
4,공중화장실,서울교통공사,1호선,종각
5,공중화장실,서울교통공사,1호선,종로3가
6,공중화장실,서울교통공사,1호선,종로3가
7,공중화장실,서울교통공사,1호선,종로5가
8,공중화장실,서울교통공사,1호선,동대문
9,공중화장실,서울교통공사,1호선,동묘앞
10,공중화장실,서울교통공사,1호선,동묘앞
11,공중화장실,서울교통공사,1호선,동묘앞
12,공중화장실,서울교통공사,1호선,동묘앞
13,공중화장실,서울교통공사,1호선,신설동
14,공중화장실,서울교통공사,1호선,제기동
15,공중화장실,서울교통공사,1호선,청량리
16,공중화장실,서울교통공사,2호선,시청
17,공중화장실,서울교통공사,2호선,시청
18,공중화장실,서울교통공사,2호선,을지로입구
19,공중화장실,서울교통공사,2호선,을지로3가
20,공중화장실,서울교통공사,2호선,을지로4가
21,공중화장실,서울교통공사,2호선,동대문역사문화공원
22,공중화장실,서울교통공사,2호선,신당
23,공중화장실,서울교통공사,2호선,상왕십리
24,공중화장실,서울교통공사,2호선,왕십리
25,공중화장실,서울교통공사,2호선,한양대
26,공중화장실,서울교통공사,2호선,뚝섬
27,공중화장실,서울교통공사,2호선,성수
28,공중화장실,서울교통공사,2호선,건대입구
29,공중화장실,서울교통공사,2호선,구의
30,공중화장실,서울교통공사,2호선,강변
31,공중화장실,서울교통공사,2호선,잠실나루
32,공중화장실,서울교통공사,2호선,잠실
33,공중화장실,서울교통공사,2호선,잠실새내
34,공중화장실,서울교통공사,2호선,종합운동장
35,공중화장실,서울교통공사,2호선,종합운동장
36,공중화장실,서울교통공사,2호선,삼성
37,공중화장실,서울교통공사,2호선,선릉
38,공중화장실,서울교통공사,2호선,역삼
39,공중화장실,서울교통공사,2호선,강남
40,공중화장실,서울교통공사,2호선,교대
41,공중화장실,서울교통공사,2호선,서초
42,공중화장실,서울교통공사,2호선,방배
43,공중화장실,서울교통공사,2호선,사당
44,공중화장실,서울교통공사,2호선,사당
45,공중화장실,서울교통공사,2호선,낙성대
46,공중화장실,서울교통공사,2호선,서울대입구
47,공중화장실,서울교통공사,2호선,봉천
48,공중화장실,서울교통공사,2호선,신림
49,공중화장실,서울교통공사,2호선,신대방
50,공중화장실,서울교통공사,2호선,구로디지털단지
51,공중화장실,서울교통공사,2호선,대림
52,공중화장실,서울교통공사,2호선,신도림
53,공중화장실,서울교통공사,2호선,신도림
54,공중화장실,서울교통공사,2호선,문래
55,공중화장실,서울교통공사,2호선,영등포구청
56,공중화장실,서울교통공사,2호선,당산
57,공중화장실,서울교통공사,2호선,합정
58,공중화장실,서울교통공사,2호선,홍대입구
59,공중화장실,서울교통공사,2호선,신촌
60,공중화장실,서울교통공사,2호선,이대
61,공중화장실,서울교통공사,2호선,아현
62,공중화장실,서울교통공사,2호선,충정로
63,공중화장실,서울교통공사,2호선,신설동
64,공중화장실,서울교통공사,2호선,용두
65,공중화장실,서울교통공사,2호선,용두
66,공중화장실,서울교통공사,2호선,용두
67,공중화장실,서울교통공사,2호선,용두
68,공중화장실,서울교통공사,2호선,신답
69,공중화장실,서울교통공사,2호선,용답
70,공중화장실,서울교통공사,2호선,도림천
71,공중화장실,서울교통공사,2호선,양천구청
72,공중화장실,서울교통공사,2호선,신정네거리
73,공중화장실,서울교통공사,3호선,구파발
74,공중화장실,서울교통공사,3호선,연신내
75,공중화장실,서울교통공사,3호선,불광
76,공중화장실,서울교통공사,3호선,녹번
77,공중화장실,서울교통공사,3호선,홍제
78,공중화장실,서울교통공사,3호선,홍제
79,공중화장실,서울교통공사,3호선,무악재
80,공중화장실,서울교통공사,3호선,독립문
81,공중화장실,서울교통공사,3호선,경복궁
82,공중화장실,서울교통공사,3호선,안국
83,공중화장실,서울교통공사,3호선,종로3가
84,공중화장실,서울교통공사,3호선,을지로3가
85,공중화장실,서울교통공사,3호선,동대입구
86,공중화장실,서울교통공사,3호선,약수
87,공중화장실,서울교통공사,3호선,금호
88,공중화장실,서울교통공사,3호선,옥수
89,공중화장실,서울교통공사,3호선,옥수
90,공중화장실,서울교통공사,3호선,압구정
91,공중화장실,서울교통공사,3호선,신사
92,공중화장실,서울교통공사,3호선,잠원
93,공중화장실,서울교통공사,3호선,교대
94,공중화장실,서울교통공사,3호선,남부터미널
95,공중화장실,서울교통공사,3호선,양재
96,공중화장실,서울교통공사,3호선,매봉
97,공중화장실,서울교통공사,3호선,도곡
98,공중화장실,서울교통공사,3호선,대치
99,공중화장실,서울교통공사,3호선,학여울
100,공중화장실,서울교통공사,3호선,대청
101,공중화장실,서울교통공사,3호선,일원
102,공중화장실,서울교통공사,3호선,수서
103,공중화장실,서울교통공사,3호선,가락시장
104,공중화장실,서울교통공사,3호선,가락시장
105,공중화장실,서울교통공사,3호선,경찰병원
106,공중화장실,서울교통공사,3호선,경찰병원
107,공중화장실,서울교통공사,3호선,오금
108,공중화장실,서울교통공사,3호선,오금
109,공중화장실,서울교통공사,4호선,당고개
110,공중화장실,서울교통공사,4호선,당고개
111,공중화장실,서울교통공사,4호선,상계
112,공중화장실,서울교통공사,4호선,노원
113,공중화장실,서울교통공사,4호선,창동
114,공중화장실,서울교통공사,4호선,쌍문
115,공중화장실,서울교통공사,4호선,수유
116,공중화장실,서울교통공사,4호선,미아
117,공중화장실,서울교통공사,4호선,미아사거리
118,공중화장실,서울교통공사,4호선,길음
119,공중화장실,서울교통공사,4호선,성신여대입구
120,공중화장실,서울교통공사,4호선,한성대입구
121,공중화장실,서울교통공사,4호선,혜화
122,공중화장실,서울교통공사,4호선,동대문
123,공중화장실,서울교통공사,4호선,동대문역사문화공원
124,공중화장실,서울교통공사,4호선,동대문역사문화공원
125,공중화장실,서울교통공사,4호선,충무로
126,공중화장실,서울교통공사,4호선,명동
127,공중화장실,서울교통공사,4호선,회현
128,공중화장실,서울교통공사,4호선,서울
129,공중화장실,서울교통공사,4호선,숙대입구
130,공중화장실,서울교통공사,4호선,삼각지
131,공중화장실,서울교통공사,4호선,신용산
132,공중화장실,서울교통공사,4호선,이촌
133,공중화장실,서울교통공사,4호선,동작
134,공중화장실,서울교통공사,4호선,총신대입구
135,공중화장실,서울교통공사,4호선,사당
136,공중화장실,서울교통공사,4호선,사당
137,공중화장실,서울교통공사,4호선,사당
138,공중화장실,서울교통공사,4호선,남태령
139,공중화장실,서울교통공사,5호선,방화
140,공중화장실,서울교통공사,5호선,개화산
141,공중화장실,서울교통공사,5호선,김포공항
142,공중화장실,서울교통공사,5호선,김포공항
143,공중화장실,서울교통공사,5호선,송정
144,공중화장실,서울교통공사,5호선,마곡
145,공중화장실,서울교통공사,5호선,발산
146,공중화장실,서울교통공사,5호선,우장산
147,공중화장실,서울교통공사,5호선,화곡
148,공중화장실,서울교통공사,5호선,까치산
149,공중화장실,서울교통공사,5호선,신정
150,공중화장실,서울교통공사,5호선,목동
151,공중화장실,서울교통공사,5호선,오목교
152,공중화장실,서울교통공사,5호선,양평
153,공중화장실,서울교통공사,5호선,영등포구청
154,공중화장실,서울교통공사,5호선,영등포시장
155,공중화장실,서울교통공사,5호선,신길
156,공중화장실,서울교통공사,5호선,여의도
157,공중화장실,서울교통공사,5호선,여의나루
158,공중화장실,서울교통공사,5호선,마포
159,공중화장실,서울교통공사,5호선,공덕
160,공중화장실,서울교통공사,5호선,애오개
161,공중화장실,서울교통공사,5호선,충정로
162,공중화장실,서울교통공사,5호선,서대문
163,공중화장실,서울교통공사,5호선,광화문
164,공중화장실,서울교통공사,5호선,종로3가
165,공중화장실,서울교통공사,5호선,을지로4가
166,공중화장실,서울교통공사,5호선,동대문역사문화공원
167,공중화장실,서울교통공사,5호선,신금호
168,공중화장실,서울교통공사,5호선,행당
169,공중화장실,서울교통공사,5호선,왕십리
170,공중화장실,서울교통공사,5호선,마장
171,공중화장실,서울교통공사,5호선,답십리
172,공중화장실,서울교통공사,5호선,장한평
173,공중화장실,서울교통공사,5호선,군자
174,공중화장실,서울교통공사,5호선,아차산
175,공중화장실,서울교통공사,5호선,광나루
176,공중화장실,서울교통공사,5호선,천호
177,공중화장실,서울교통공사,5호선,강동
178,공중화장실,서울교통공사,5호선,길동
179,공중화장실,서울교통공사,5호선,굽은다리
180,공중화장실,서울교통공사,5호선,명일
181,공중화장실,서울교통공사,5호선,고덕
182,공중화장실,서울교통공사,5호선,상일동
183,공중화장실,서울교통공사,5호선,강일
184,공중화장실,서울교통공사,5호선,강일
185,공중화장실,서울교통공사,5호선,미사
186,공중화장실,서울교통공사,5호선,미사
187,공중화장실,서울교통공사,5호선,하남풍산
188,공중화장실,서울교통공사,5호선,하남시청
189,공중화장실,서울교통공사,5호선,하남검단산
190,공중화장실,서울교통공사,5호선,둔촌동
191,공중화장실,서울교통공사,5호선,올림픽공원
192,공중화장실,서울교통공사,5호선,방이
193,공중화장실,서울교통공사,5호선,오금
194,공중화장실,서울교통공사,5호선,개롱
195,공중화장실,서울교통공사,5호선,거여
196,공중화장실,서울교통공사,5호선,마천
197,공중화장실,서울교통공사,6호선,응암
198,공중화장실,서울교통공사,6호선,역촌
199,공중화장실,서울교통공사,6호선,불광
200,공중화장실,서울교통공사,6호선,독바위
201,공중화장실,서울교통공사,6호선,연신내
202,공중화장실,서울교통공사,6호선,구산
203,공중화장실,서울교통공사,6호선,새절
204,공중화장실,서울교통공사,6호선,증산
205,공중화장실,서울교통공사,6호선,디지털미디어시티
206,공중화장실,서울교통공사,6호선,디지털미디어시티
207,공중화장실,서울교통공사,6호선,월드컵경기장
208,공중화장실,서울교통공사,6호선,월드컵경기장
209,공중화장실,서울교통공사,6호선,마포구청
210,공중화장실,서울교통공사,6호선,마포구청
211,공중화장실,서울교통공사,6호선,망원
212,공중화장실,서울교통공사,6호선,합정
213,공중화장실,서울교통공사,6호선,상수
214,공중화장실,서울교통공사,6호선,광흥창
215,공중화장실,서울교통공사,6호선,대흥
216,공중화장실,서울교통공사,6호선,공덕
217,공중화장실,서울교통공사,6호선,효창공원앞
218,공중화장실,서울교통공사,6호선,삼각지
219,공중화장실,서울교통공사,6호선,녹사평
220,공중화장실,서울교통공사,6호선,이태원
221,공중화장실,서울교통공사,6호선,한강진
222,공중화장실,서울교통공사,6호선,버티고개
223,공중화장실,서울교통공사,6호선,약수
224,공중화장실,서울교통공사,6호선,청구
225,공중화장실,서울교통공사,6호선,신당
226,공중화장실,서울교통공사,6호선,동묘앞
227,공중화장실,서울교통공사,6호선,창신
228,공중화장실,서울교통공사,6호선,보문
229,공중화장실,서울교통공사,6호선,안암
230,공중화장실,서울교통공사,6호선,안암
231,공중화장실,서울교통공사,6호선,고려대
232,공중화장실,서울교통공사,6호선,월곡
233,공중화장실,서울교통공사,6호선,상월곡
234,공중화장실,서울교통공사,6호선,돌곶이
235,공중화장실,서울교통공사,6호선,석계
236,공중화장실,서울교통공사,6호선,석계
237,공중화장실,서울교통공사,6호선,태릉입구
238,공중화장실,서울교통공사,6호선,화랑대
239,공중화장실,서울교통공사,6호선,봉화산
240,공중화장실,서울교통공사,7호선,장암
241,공중화장실,서울교통공사,7호선,도봉산
242,공중화장실,서울교통공사,7호선,도봉산
243,공중화장실,서울교통공사,7호선,수락산
244,공중화장실,서울교통공사,7호선,마들
245,공중화장실,서울교통공사,7호선,노원
246,공중화장실,서울교통공사,7호선,중계
247,공중화장실,서울교통공사,7호선,하계
248,공중화장실,서울교통공사,7호선,공릉
249,공중화장실,서울교통공사,7호선,태릉입구
250,공중화장실,서울교통공사,7호선,먹골
251,공중화장실,서울교통공사,7호선,중화
252,공중화장실,서울교통공사,7호선,상봉
253,공중화장실,서울교통공사,7호선,면목
254,공중화장실,서울교통공사,7호선,사가정
255,공중화장실,서울교통공사,7호선,용마산
256,공중화장실,서울교통공사,7호선,중곡
257,공중화장실,서울교통공사,7호선,어린이대공원
258,공중화장실,서울교통공사,7호선,건대입구
259,공중화장실,서울교통공사,7호선,뚝섬유원지
260,공중화장실,서울교통공사,7호선,청담
261,공중화장실,서울교통공사,7호선,강남구청
262,공중화장실,서울교통공사,7호선,학동
263,공중화장실,서울교통공사,7호선,논현
264,공중화장실,서울교통공사,7호선,논현
265,공중화장실,서울교통공사,7호선,반포
266,공중화장실,서울교통공사,7호선,고속터미널
267,공중화장실,서울교통공사,7호선,내방
268,공중화장실,서울교통공사,7호선,이수
269,공중화장실,서울교통공사,7호선,이수
270,공중화장실,서울교통공사,7호선,남성
271,공중화장실,서울교통공사,7호선,숭실대입구
272,공중화장실,서울교통공사,7호선,상도
273,공중화장실,서울교통공사,7호선,장승배기
274,공중화장실,서울교통공사,7호선,신대방삼거리
275,공중화장실,서울교통공사,7호선,보라매
276,공중화장실,서울교통공사,7호선,신풍
277,공중화장실,서울교통공사,7호선,대림
278,공중화장실,서울교통공사,7호선,남구로
279,공중화장실,서울교통공사,7호선,가산디지털단지
280,공중화장실,서울교통공사,7호선,철산
281,공중화장실,서울교통공사,7호선,광명사거리
282,공중화장실,서울교통공사,7호선,천왕
283,공중화장실,서울교통공사,7호선,온수
284,공중화장실,서울교통공사,8호선,암사역사공원역
285,공중화장실,서울교통공사,8호선,암사
286,공중화장실,서울교통공사,8호선,강동구청
287,공중화장실,서울교통공사,8호선,몽촌토성
288,공중화장실,서울교통공사,8호선,잠실
289,공중화장실,서울교통공사,8호선,석촌
290,공중화장실,서울교통공사,8호선,송파
291,공중화장실,서울교통공사,8호선,가락시장
292,공중화장실,서울교통공사,8호선,문정
293,공중화장실,서울교통공사,8호선,문정
294,공중화장실,서울교통공사,8호선,장지
295,공중화장실,서울교통공사,8호선,복정
296,공중화장실,서울교통공사,8호선,남위례
297,공중화장실,서울교통공사,8호선,산성
298,공중화장실,서울교통공사,8호선,남한산성입구
299,공중화장실,서울교통공사,8호선,단대오거리
300,공중화장실,서울교통공사,8호선,신흥
301,공중화장실,서울교통공사,8호선,수진
302,공중화장실,서울교통공사,8호선,모란
